2532,STM_SSPSSR,"Student Transition Module - SSPSSR"
2533,STM001,"Student Transition Module - Student Support, IT, Library & E-Learning"
2534,STMKSA,"Kent School of Architecture - Transition Module"
2535,STMHistory,"School of History"
2536,STMEng,"School of English Transition Module"
2537,STMPsyc,"School of Psychology - Transition Module"
2538,KBSTM,"Kent Business School Transition Module"
2539,STMSmsas,"SMSAS- Transition Module"
2540,STMSecl,"School of European Culture and Languages - Transition Module"
2541,STMSAC,"School of Anthropology and Conservation - Transition Module"
2542,STMCArts,"School of Arts at Canterbury - Transition Module"
2543,STMMSMFA,"Medway School of Music & Fine Art - Transition Module"
2544,STMPol,"School of Politics and International Relations Transition Module"
2606,DBR_LC,"Brussels Lecture Capture (2014/2015)"
2639,D47_DipC,"Diploma in Counselling (2014/2015)"
2640,D47_CPPStaff,"CPP Staff (2014/2015)"
2651,D47_CPP_L&T(archive),"CPP Learning and Teaching (archive) (2014/2015)"
2652,D47_CPP_L&T,"CPP Learning and Teaching (2014/2015)"
2653,D47_CPP_R&E,"CPP Research and Ethics (2014/2015)"
2654,BI002,"Biosciences Practical Skills (2014/2015)"
2655,D47_Psy,"Psychotherapy (2014/2015)"
2656,D47_BAPP,"BAPP BA in Applied Professional Practice (2014/2015)"
2657,D47_MSCASH,"MSCASH MSc in Advanced and Specialist Healthcare (2014/2015)"
2658,D47_MSCPP,"MScPP MSc in Professional Practice (2014/2015)"
2664,D35_KBS_PMAS,"KBS Programme/Module Approval System (2014/2015)"
2665,D01_ASH,"Arts Staff Handbook (2014/2015)"
2681,D01_DP,"Drama Production"
2685,D11_Lang_EX,"CEWL Language Exchange"
2688,DX_All_School_WW,"All School Welcome Week Information (2014/15)"
2689,D01_GIDS,"General Information for Drama Students (2014/2015)"
2690,KLSSHUB15,"KLS Skills Hub (2014/2015)"
2691,LSG15,"Law Student Guide (2014/2015)"
2692,LAWUGIND15,"Undergraduate Induction for Law (2014/2015)"
2693,DX_ESA,"Enterprise Skills Award (2014/2015)"
2697,MOOT15,"Mooting (2014/2015)"
2698,DX_GS_RD_001,"Researcher Development Assessment (2014/2015)"
2699,BI797/BI798,"Sandwich Year & Professional Year (2014/2015)"
2700,BI005,"Biosciences Careers and Employability (2014/2015)"
2704,D04_SECLUG,"SECL Undergraduates"
2706,D04_SECLPG,"SECL Postgraduates"
2707,D04_PG-Phil,"Postgraduates in Philosophy/Reasoning"
2709,MCEW15,"Master Classes in Essay Writing (2014/2015)"
2710,D35_STO,"KBS Student Office (2014/2015)"
2711,D35_ETH,"KBS Research Ethics (2014/2015)"
2712,D04_SECLEMP,"SECL Employability"
2728,D04_HERMADOCS,"Heritage Management Documents"
2731,"D38_Pol&IR Resubmission Module","Politics and International Relations Resubmission Module (2014/2015)"
2732,DX_HUMSIGS,"Humanities Special Interest Groups (2014/2015)"
2733,D12_MU-PER,"Extra-Curricular Music Performance (2014/2015)"
2734,D12_SMFA-INFO,"SMFA Student Information (2014/2015)"
2739,DX_ECEA,"English Careers Employability Award (2014/2015)"
2752,D38_Pol/IR_GRTS,"GRTS Politics and IR Graduate Research Training Module (GRTS) (2014/2015)"
2753,D38_POL/IR_RES_THES_SUB,"Politics and International Relations Research Thesis Submission (2014/2015)"
2754,DX_ACEA,"Arts Careers Employability Award (2014/2015)"
2755,DX_SCEA,"Science Careers Employability Award (2014/2015)"
2756,DX_CEA,"Careers Employability Award (2014/15)"
2759,DX_BCEA,"Careers Award for Business"
2760,D17_SM+,"SMSAS plus (2014/2015)"
2761,D17_OKA,"SMSAS Online Knowledge Assessment (2014/2015)"
2763,SMSAS-STM,"SMSAS Transition Module"
2768,D35_CON,"Contemporary Intercultural Management Issues (2014/2015)"
2769,HI100,"School of History Teaching Forum"
2770,HI101,"School of History Undergraduate Portal"
2771,HI102,"School of History Postgraduate Portal"
2772,HI103,"School of History Employability Portal"
2788,D01_ART,"School of Arts Moodle page (2014/2015)"
2799,D39_ALP,"Associate Lecturers Page (2014/2015)"
2800,D39_CafePsych,"Cafe Psychology (2014/2015)"
2805,"CPP R&E (archive)","CPP Research and Ethics (archive)"
2813,EMP15,"Employability and Career Development (2014/2015)"
2814,KLCR15,"Kent Law Course Representatives (2014/2015)"
2818,D35_KBSMSO,"Kent Business School Medway School Office (2014/2015)"
2821,D17_SMSAS-PG-Alloc,"SMSAS PostGrad Work Allocations (2014/2015)"
2827,"D40_SS_EMP ","SSPSSR Employability (2014/2015)"
2830,BI000,"School of Biosciences transition module (2014/2015)"
2831,BI001,"Biosciences Student Portal (2014/2015)"
2832,KLSRAS14,"KLS Research Assistantship Scheme 2014"
2833,D17_SMSAS-YinI,"SMSAS Industrial Placements (2014/2015)"
2845,SAS,"Student Ambassador Scheme"
2847,D17_Wk0,"SMSAS Welcome Week (2014/2015)"
2851,"D45_SAC-MD SAC Masters Dissertations","School of Anthropology and Conservation previous years' masters dissertations (2014/2015)"
2856,D46_PGgeninfo,"PGgeninfo: Information for Tizard postgraduate students (2014/2015)"
2862,DX_PMAS,"Programme and Module Approval System (2014/2015)"
2863,D11_AESA,"English Skills for the Arts"
2864,D60_SLASPQ,"What constitutes plagiarism?"
2865,D12_WA,"Writing for the Arts"
2866,D60_WW,"Writing Well"
2871,KP_USERS,"KP_Users KentPlayer Training & Setup "
2872,D35_OMR1415,"Online Module Registration Information (OMR) (2014/2015)"
2884,D35_MBAinfo,"MBA info: MBA information board (2014/2015)"
2901,D36_ECONEMP,"Employability for Economics Students (2014/2015)"
2911,D40_SSPSSR_Hub_Info,"SSPSSR Medway Info Hub (2014/2015)"
2918,D35_QW,"Quantitative workshop (2014/2015)"
2925,D39_PGRThesis,"Psychology PG-R Thesis Submission to KAR (2014/2015) - submit to KAR"
2926,TEST001,JAKETEST001
2927,D03_EWS,"English Writing Skills (2014/2015)"
2929,DX_TRAIN,"Introduction to Manufacture (2014/2015)"
2930,DX_DRC,"Demonstration module (2014/2015)"
2933,D04_SECLSTUSUP,"SECL Student Support"
2935,CWM,"Computing Workshop at Medway (2014/2015)"
2936,MCS,"Medway Computing Society (2014/2015)"
2941,D11_LZ000,"IFP Info"
2942,"D11_CEWL StudEx","CEWL Student Experience (2014/2015)"
2943,D11_CEWLSS,"CEWL Student Support (all programmes) (2014/2015)"
2945,D09_CASE,"Case Research Centre (2014/2015)"
2961,DX_stu-skills,"Student Skills (2014/2015)"
2967,DX_SED,"Demonstration Module"
2968,BI007,"Biosciences Safety Information - Teaching (2014/2015)"
2969,BI006,"Biosciences Safety Information - Research Students (2014/2015)"
2971,BI003,"Bio-Postgraduate (2014/2015)"
2974,TZ_DEV,"Tizard development module"
2975,DX_UKR,"Rome Programme Information (2014/2015)"
2976,DPA_UKP,"DPA_UKP: Paris Programme Information (2014/2015"
2982,"Msc Marketing","MSc Marketing (2014/2015)"
2989,D38_Plagiarism,"Pol Plag Plagiarism (2014/2015)"
2990,D38_PASS,"PASS: Student Support – Politics & International Relations (2014/2015)"
2992,pg-psych-turnitin-welcome,"PG Welcome Week Turnitin Example "
3004,D09_AW,"Architecture Workshop (2014/2015)"
3006,D39_psychempskills,"Psychology Employability Skills (2014/2015)"
3009,D36_ECONPRO,"Professional Development for Economists (2014/2015)"
3014,D04_SECLLCS,"SECL Language Coordinators (2014/2015)"
3021,D39_S1_Study_Skills,"Psychology Stage 1 Study Skills (2014/2015)"
